OTU_ID,TaxonPath
d449817ac0cfa7459707a44befc02138,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora lycii;
492a381c8f76ee93cc43cabbb1ca82d1,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius;s__Marasmius palmivorus;
1f21a97d687d1e088c522916572cec16,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus micaceus;
00d4d61506a9dd287a878638565754d5,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella;s__Tremella fuciformis;
5aa5f900b88f13ddec7b7ac2636ac3d7,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;
49f05e737dd5d94c66391567380bb616,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Sporisorium;s__Sporisorium reilianum;
1d5c4d8814c8b9fcef200351f7c48ba3,d__Eukaryota;k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis isabellina;
fff9896ba281b3e6ed44498382c5954d,d__Eukaryota;k__Metazoa;
eb38cd6e5b5c3fb79578fdedd831353a,d__Eukaryota;k__Metazoa;
2bcbae0d3343b2cc172d071987b7b4e8,d__Eukaryota;k__Metazoa;
61c37a6a640a46197087d16bd2836f90,d__Eukaryota;k__Metazoa;
8719cfc3de181ac3d3d2ce14175f557c,d__Eukaryota;k__Metazoa;
0e3cf7f77d6677724631c8f71e5ed24a,d__Eukaryota;k__Metazoa;
f1b566b2d0f3ca5f0a28381944c5a743,d__Eukaryota;k__Metazoa;
85c71ce2f7a2bbf9760804ce6ec8ff4f,d__Eukaryota;k__Metazoa;
75bc7717e5a365731d9c5a3fa7ee3f39,d__Eukaryota;k__Metazoa;
69cb00437097e8c03f07f85f7d259b5a,d__Eukaryota;k__Metazoa;
0ea6e20ae09a09a8854ffb2c435a4aff,d__Eukaryota;k__Metazoa;
084d7bf5c7d8104326a699aba4fed30d,d__Eukaryota;k__Metazoa;
6a299c91a97b8053b276212e0b49881e,d__Eukaryota;k__Metazoa;
185dc54da056fad3e14255f31b23a233,d__Eukaryota;k__Metazoa;
5d51e87114ceb092e9954d2448a6f664,d__Eukaryota;k__Metazoa;
6832d7af81091e5add71255c4ccc8b43,d__Eukaryota;k__Metazoa;
9446cbb2f6572d53746badf3ad4bd5c5,d__Eukaryota;k__Metazoa;
2a13ab4cbf7ee29aff0dfa263b2fd769,d__Eukaryota;k__Metazoa;
8f190b67198f747675a143fa6a3d616e,d__Eukaryota;k__Metazoa;
bb54e295f37330336682438ff77fdb99,d__Eukaryota;k__Metazoa;
0b8ca1190a06b34fc6fff70110fbcecd,d__Eukaryota;k__Metazoa;
45309f8e160e244321751af3c1c8faf8,d__Eukaryota;k__Metazoa;
0eaeeda78b6663cf7bb51550dc0ad865,d__Eukaryota;k__Metazoa;
495c29e26290a590cd478c9e00298977,d__Eukaryota;k__Metazoa;
cb645f81b6f83e0c0cfbf879ee0e0594,d__Eukaryota;k__Metazoa;
afbdc46c3d3e0a65dd40d38b26613b3a,d__Eukaryota;k__Metazoa;
1dfbc1d19b32e01e231de725deb2f6f6,d__Eukaryota;k__Metazoa;
8ca9fb6a4f5d5cec763ce818b1bdd484,d__Eukaryota;k__Metazoa;
61e7ef4544d5317b9e51ffc3202612cb,d__Eukaryota;k__Metazoa;
579267088380323583c9a91b5d50ccef,d__Eukaryota;k__Metazoa;
03cf8094868bdbee4aeb2794309728fb,d__Eukaryota;k__Metazoa;
6350deaf26c3986e4a71c4fa150def06,d__Eukaryota;k__Metazoa;
d93f0af5ac6c4a01782d7a6a27b53040,d__Eukaryota;k__Metazoa;
91f8ba4308b73a20faeb7c700570052c,d__Eukaryota;k__Metazoa;
1247e3b22fe2e6fb925149e23d08845b,d__Eukaryota;k__Metazoa;
7bd1db40d2d714c06d1cb0665f76e9dd,d__Eukaryota;k__Metazoa;
