Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
S,120,125,*,*,*,*,*,0faa0b7e61d776b4c80d404fbd693bda,*
S,121,125,*,*,*,*,*,0fb85c523c57ab1d4b5516164a38e3c2,*
H,23,125,97.5,+,0,0,25I40M85D,0fd6358a33ad51e24dca67153c934bf8,02d8742360ddc18d13d2c1361402667e
H,41,125,99.2,+,0,0,125M,0ff785e2e705da85f9cb5b57fd8bd8ce,0550cd298dcc957f56ef422178104250
S,122,125,*,*,*,*,*,0ff949f39a056f7bdebb2c7466278ded,*
S,123,84,*,*,*,*,*,10113b8c55e2f1f0c696860812d800a2,*
S,124,125,*,*,*,*,*,1025b5d6998e410132d032d8a0cc28c4,*
S,125,125,*,*,*,*,*,1025e700c465d66fe08dabcfd0e29376,*
H,66,49,100,+,0,0,49M2I,108d85fc8a4efe046db919c15474cfcc,0850157c918b2d80598a39fbfbd2b0d0
S,126,125,*,*,*,*,*,10fe4adf22c1cad56d7ffd6cc9b67b4b,*
S,127,54,*,*,*,*,*,1120b3eb84459f1d3dd4274fb03b4b69,*
S,128,125,*,*,*,*,*,11228ccf96e6a8feac0dc5c05203e103,*
H,7,125,99.2,+,0,0,125M,113927cfee4f650c7390501c4870da5b,00a61b954e2233329d22d1ab551be08a
S,129,125,*,*,*,*,*,11422be707ac0f3d53b53cb56392e359,*
S,130,125,*,*,*,*,*,11531a705d2b55c5c53cb90cf1ac4c62,*
S,131,49,*,*,*,*,*,11623cca36848e23b3b061f2afcb86f8,*
H,80,125,98.6,+,0,0,69M56D,116df6953886773d5732f13a560e2bae,0a0b3934d798e87920c517b44a76f1bc
S,132,125,*,*,*,*,*,1187f391856015cafaefb7f613b12461,*
S,133,125,*,*,*,*,*,119f6de89360d104f31a577165a24aaa,*
S,134,61,*,*,*,*,*,11b243d61793800b6f802e876a8f2047,*
H,41,125,97.6,+,0,0,125M,11d52048ada2b13425492bc96f70619d,0550cd298dcc957f56ef422178104250
S,135,125,*,*,*,*,*,11d5d3bc3cbb9725f1bc14167d7ef135,*
H,16,125,97.6,+,0,0,125M,11d83420d4bd8c2201ee37fe5d67e06a,01955224fb6a90a09007cb1c79bd6ccb
S,136,125,*,*,*,*,*,11db735d7ecc6435601bcea1e00487f3,*
S,137,77,*,*,*,*,*,11ec3f4337ff4a6eb89843512681b6cd,*
S,138,125,*,*,*,*,*,1204376d69ef5bf17403fdace144996b,*
S,139,125,*,*,*,*,*,1247e3b22fe2e6fb925149e23d08845b,*
